2005,Solar Inverter,6882063,DC to DC converter and power management system,Calgary,,Canada,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=150&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/
2005,Solar Monitoring,6914418,Multi-mode renewable power converter system ,Taipei,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=503&p=11&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29
2005,Solar Mounting/Rack,6928775,Multi-use electric tile modules ,"(Tucson, AZ)",AZ,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=147&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/
2005,Solar Mounting/Rack,6930238,Solar cell module-mounting structure and solar cell module array,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6930238
2005,Solar Inverter,6940735,Power converter system ,"Dearborn, MI",MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=145&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/
2005,Solar Inverter,6949843,Grid-connected power systems having back-up power sources and methods of providing back-up power in grid-connected power systems ,"Columbia, MD",MD,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=144&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/
2005,Solar Monitoring,6956500,Real-time residential energy monitor ,"Ormond Beach, FL",FL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=490&p=10&f=G&l=50&d=PTXT&S1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29+OR+%28%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29+AND+%28%28monitor.CLTX.+or+monitor.DCTX.%29+OR+%28monitoring.CLTX.+or+monitoring.DCTX.%29%29%29%29&OS=+%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29&RS=%28%28ACLM/solar+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29+OR+%28ACLM/photovoltaic+AND+%28ACLM/monitor+OR+ACLM/monitoring%29%29%29
2005,Solar Mounting/Rack,6959517,Photovoltaic panel mounting bracket,"Perrysburg, OH",OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6959517.PN.&OS=PN/6959517&RS=PN/6959517
2005,Solar Inverter,6966184,"Photovoltaic power generating apparatus, method of producing same and photovoltaic power generating system ",Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/6966184
2006,Solar Monitoring; Solar Inverter,7000395,Hybrid clean-energy power-supply framework ,Jhongli ,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395
