PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode	origCPC1	origCPC2	origCPC3
pat0361	num-11/879 054	yr2009	Solar Inverter	Petaluma  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	Other_CA	Y02E	Y02B	H02M
pat0114	num-7834471	yr2010	Solar Monitoring	Waterford  MI	MI	MI	USA	3	Solar Monitoring	H02J	Y02E	Y02B	MI	H02M	Y02E	
pat0689	num-13/118 791	yr2011	Solar Mounting/Rack	Tulsa  OK	OK	OK	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J	OK	G01R		
pat0499	num-12/676 138	yr2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	H01L	Y02B	Y02E
pat0690	num-13/126 255	yr2011	Solar Mounting/Rack	Friesenried	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02E	H01L	germany	H01L	Y02B	Y02E
pat0660	num-13/070 351	yr2012	Solar Monitoring	San Jose  CA	CA	CA	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	Bay_Area	H02M		
pat0468	num-12/564 774	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	Bay_Area	F24J	Y02E	Y02B
pat0625	num-12/994 713	yr2011	Solar Mounting/Rack	Lyon	N/A	N/A	France	14	Solar Mounting/Rack	F24J	Y02E	H01L	europe	Y02E	H02J	
pat0829	num-13/475 460	yr2012	Solar Inverter	Petaluma  CA	CA	CA	USA	0	Solar Inverter	H02M	Y02E	H02J	Other_CA	F24J	Y02E	H01L
pat0253	num-8205400	yr2012	Solar Mounting/Rack	Rochester Hills  MI	MI	MI	USA	4	Solar Mounting/Rack	Y02B	H01L	Y02E	MI	E04D	H01L	E04D
pat0000	num-6882063	yr2005	Solar Inverter	Calgary	N/A	N/A	Canada	6	Solar Inverter	H02J	Y02E	H02M	canada	G01J	G01C	G01W
pat0438	num-12/434 641	yr2010	Solar Inverter	Maple Glen  PA	PA	PA	USA	0	Solar Inverter	H02M	Y02E	H02J	PA	F24J	Y02E	H01L
pat0194	num-8068352	yr2011	Solar Inverter	Peoria  IL	IL	IL	USA	6	Solar Inverter	H02J	Y02E	H02M	IL	F24J	Y02E	H01L
pat0159	num-7960863	yr2011	Solar Inverter	Bend  OR	OR	OR	USA	11	Solar Inverter	Y02E	H02J	G05F	OR	H02J		
pat0512	num-12/723 476	yr2010	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	CO	G01J	G01S	G01W
pat0339	num-11/558 659	yr2007	Solar Mounting/Rack	Dusseldorf	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02E	H01L	germany	Y02E	H01L	
pat0702	num-13/158 711	yr2012	Solar Inverter	Milpitas  CA	CA	CA	USA	6	Solar Inverter	H02J	Y02E	H02M	Bay_Area	Y02E	H01L	H02M
pat0833	num-13/490 084	yr2012	Solar Monitoring	Freemont  CA	CA	CA	Canada	5	Solar Monitoring	Y04S	G06Q	Y02E	other	H01L	Y02E	H02J
pat0515	num-12/732 649	yr2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	Bay_Area	F24J	Y02B	Y02E
pat0295	num-8294286	yr2012	Solar Inverter	Troy  OH	OH	OH	USA	3	Solar Monitoring	H02J	Y02E	Y02B	OH	Y02E	H02J	
pat0270	num-8232681	yr2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter	H02J	Y02E	H02M	NY	Y02E	H01L	H02J
pat0406	num-12/288 956	yr2009	Solar Monitoring	Hollsboro  OR	OR	OR	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	OR	F24J	Y02E	Y02B
pat0529	num-12/777 224	yr2010	Site Assessment	New York  NY	NY	NY	USA	5	Solar Monitoring	Y04S	G06Q	Y02E	NY	H02J		
pat0754	num-13/277 878	yr2012	Solar Mounting/Rack	Lafayette  CO	CO	CO	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	CO	Y02E	H02J	Y02E
